Date,SequenceNumber,PacketNumber,NodeId,SrcNodeId,LqiValue,RssiValues
1164976568218,0,0,2,3,-48,188
1164976588890,0,0,6,7,-41,229
1164976593656,0,0,7,6,-43,225
1164976593656,0,0,7,3,-48,201
1164976601906,0,0,8,4,-42,223
1164976601906,0,0,8,9,-47,194
1164976610156,0,0,9,6,-44,219
1164976610156,0,0,9,8,-46,231
1164976615953,0,0,10,11,-39,231
1164976619671,0,0,11,10,-44,231
1164976625359,0,0,14,10,-47,221
1164976629187,0,0,15,11,-46,206
1164976629843,0,0,12,13,-47,221
1164976629843,0,0,12,17,-48,187
1164976631468,0,1,3,7,-44,219
1164976633296,0,0,16,17,-43,233
1164976633296,0,0,16,13,-46,221
1164976635265,0,0,13,16,-46,220
1164976635265,0,0,13,12,-45,221
1164976638000,0,0,17,16,-44,229
1164976638000,0,0,17,12,-49,203
1164976644609,0,1,4,8,-45,231
1164976648890,0,1,6,7,-42,222
1164976653656,0,1,7,6,-44,223
1164976653656,0,1,7,3,-47,214
1164976661890,0,1,8,9,-46,198
1164976661890,0,1,8,4,-42,220
1164976669687,0,0,19,18,-45,219
1164976670171,0,1,9,11,-46,199
1164976670171,0,1,9,6,-44,223
1164976671171,1,1,9,8,-46,229
1164976675968,0,1,10,14,-46,219
1164976675968,0,1,10,11,-39,232
1164976679671,0,1,11,10,-45,232
1164976679671,0,1,11,15,-50,210
1164976685375,0,1,14,10,-47,216
1164976689203,0,1,15,18,-49,197
1164976689828,0,1,12,13,-47,221
1164976691468,0,2,3,7,-44,216
1164976693296,0,1,16,17,-43,229
1164976693296,0,1,16,13,-47,228
1164976698000,0,1,17,16,-44,227
1164976704625,0,2,4,8,-46,230
1164976708890,0,2,6,9,-47,207
1164976708890,0,2,6,7,-42,228
1164976713656,0,2,7,6,-44,214
1164976713656,0,2,7,3,-47,201
1164976721906,0,2,8,9,-47,195
1164976721906,0,2,8,4,-42,222
1164976724968,0,1,18,15,-50,195
1164976724968,0,1,18,19,-49,198
1164976729640,0,1,19,18,-46,225
1164976730156,0,2,9,11,-45,206
1164976730187,0,2,9,6,-44,219
1164976731171,1,2,9,8,-47,223
1164976735953,0,2,10,14,-46,225
1164976735953,0,2,10,11,-39,226
1164976739687,0,2,11,10,-44,232
1164976745359,0,2,14,10,-48,222
1164976749203,0,2,15,11,-45,196
1164976749843,0,2,12,13,-46,225
1164976751484,0,3,3,7,-44,217
1164976753312,0,2,16,17,-43,232
1164976753312,0,2,16,13,-47,222
1164976758000,0,2,17,16,-44,230
1164976764625,0,3,4,8,-46,232
1164976768890,0,3,6,9,-46,216
1164976768890,0,3,6,7,-42,215
1164976773671,0,3,7,6,-44,227
1164976773671,0,3,7,3,-47,219
1164976781906,0,3,8,9,-47,195
1164976781906,0,3,8,4,-42,222
1164976784984,0,2,18,19,-48,212
1164976789656,0,2,19,18,-46,221
1164976790171,0,3,9,6,-44,222
1164976790171,0,3,9,8,-46,227
1164976795968,0,3,10,14,-47,223
1164976795968,0,3,10,11,-39,229
1164976799687,0,3,11,10,-44,233
1164976799687,0,3,11,15,-50,191
1164976805375,0,3,14,10,-48,221
1164976809203,0,3,15,11,-44,203
1164976809203,0,3,15,18,-49,187
1164976809843,0,3,12,13,-47,220
1164976811484,0,4,3,7,-44,210
1164976813312,0,3,16,17,-43,230
1164976813312,0,3,16,13,-47,228
1164976815265,0,3,13,16,-46,222
1164976815265,0,3,13,12,-45,224
1164976818015,0,3,17,16,-44,225
1164976818015,0,3,17,12,-48,193
1164976824625,0,4,4,8,-45,227
1164976828906,0,4,6,9,-47,203
1164976828906,0,4,6,7,-42,226
1164976833656,0,4,7,6,-44,227
1164976833656,0,4,7,3,-47,211
1164976841906,0,4,8,9,-47,199
1164976841906,0,4,8,4,-43,211
1164976844984,0,3,18,19,-48,204
1164976849671,0,3,19,18,-47,223
1164976850187,0,4,9,11,-45,191
1164976850187,0,4,9,6,-45,219
1164976851171,1,4,9,8,-46,222
1164976855968,0,4,10,14,-46,219
1164976855984,0,4,10,11,-39,230
1164976859687,0,4,11,10,-45,231
1164976859687,0,4,11,15,-50,195
1164976865375,0,4,14,10,-48,219
1164976869203,0,4,15,11,-45,193
1164976869843,0,4,12,13,-47,216
1164976871484,0,5,3,7,-44,217
1164976873328,0,4,16,17,-43,232
1164976873328,0,4,16,13,-47,218
1164976875281,0,4,13,16,-46,215
1164976875281,0,4,13,12,-45,228
1164976878015,0,4,17,16,-44,223
1164976884625,0,5,4,8,-46,228
1164976888906,0,5,6,9,-46,203
1164976888906,0,5,6,7,-42,222
1164976889906,1,5,6,8,-51,181
1164976893656,0,5,7,6,-44,215
1164976893656,0,5,7,3,-47,204
1164976901906,0,5,8,9,-47,204
1164976901906,0,5,8,4,-43,221
1164976909656,0,4,19,18,-46,227
1164976910171,0,5,9,6,-44,216
1164976910171,0,5,9,8,-46,229
1164976915984,0,5,10,14,-47,221
1164976915984,0,5,10,11,-40,228
1164976919703,0,5,11,10,-44,235
1164976925375,0,5,14,10,-47,217
1164976929218,0,5,15,11,-45,194
1164976929843,0,5,12,13,-47,220
1164976931484,0,6,3,7,-44,205
1164976933312,0,5,16,17,-43,233
1164976933312,0,5,16,13,-47,222
1164976935281,0,5,13,16,-45,223
1164976935281,0,5,13,12,-45,227
1164976938015,0,5,17,16,-44,228
1164976944640,0,6,4,8,-45,228
1164976948906,0,6,6,9,-46,199
1164976948906,0,6,6,7,-42,218
1164976953671,0,6,7,6,-44,217
1164976953671,0,6,7,3,-47,206
1164976961906,0,6,8,9,-47,193
